Input	Input Type	MGI Gene/Marker ID	Symbol	Name	Feature Type
ENSMUSG00000001403	Ensembl Gene Model	MGI:1915862	Ube2c	ubiquitin-conjugating enzyme E2C	protein coding gene
ENSMUSG00000001416	Ensembl Gene Model	MGI:104708	Cct3	chaperonin containing Tcp1, subunit 3 (gamma)	protein coding gene
ENSMUSG00000001419	Ensembl Gene Model	MGI:99533	Mef2d	myocyte enhancer factor 2D	protein coding gene
ENSMUSG00000001424	Ensembl Gene Model	MGI:1929266	Snd1	staphylococcal nuclease and tudor domain containing 1	protein coding gene
ENSMUSG00000001440	Ensembl Gene Model	MGI:107532	Kpnb1	karyopherin (importin) beta 1	protein coding gene
ENSMUSG00000001441	Ensembl Gene Model	MGI:1101358	Npepps	aminopeptidase puromycin sensitive	protein coding gene
ENSMUSG00000001467	Ensembl Gene Model	MGI:106040	Cyp51	cytochrome P450, family 51	protein coding gene
ENSMUSG00000001472	Ensembl Gene Model	MGI:1914105	Tcf25	transcription factor 25 (basic helix-loop-helix)	protein coding gene
ENSMUSG00000001473	Ensembl Gene Model	MGI:1915201	Tubb6	tubulin, beta 6 class V	protein coding gene
ENSMUSG00000001482	Ensembl Gene Model	MGI:1346331	Def8	differentially expressed in FDCP 8	protein coding gene
ENSMUSG00000001507	Ensembl Gene Model	MGI:96602	Itga3	integrin alpha 3	protein coding gene
ENSMUSG00000001517	Ensembl Gene Model	MGI:1347487	Foxm1	forkhead box M1	protein coding gene
ENSMUSG00000001518	Ensembl Gene Model	MGI:1915450	Itfg2	integrin alpha FG-GAP repeat containing 2	protein coding gene
ENSMUSG00000001521	Ensembl Gene Model	MGI:1329045	Tulp3	tubby-like protein 3	protein coding gene
ENSMUSG00000001525	Ensembl Gene Model	MGI:107812	Tubb5	tubulin, beta 5 class I	protein coding gene
ENSMUSG00000001569	Ensembl Gene Model	MGI:1861749	Nom1	nucleolar protein with MIF4G domain 1	protein coding gene
ENSMUSG00000001576	Ensembl Gene Model	MGI:1914708	Ergic1	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein coding gene
ENSMUSG00000001583	Ensembl Gene Model	MGI:1930958	Tnk1	tyrosine kinase, non-receptor, 1	protein coding gene
ENSMUSG00000001627	Ensembl Gene Model	MGI:1316717	Ifrd1	interferon-related developmental regulator 1	protein coding gene
ENSMUSG00000001632	Ensembl Gene Model	MGI:1926033	Brpf1	bromodomain and PHD finger containing, 1	protein coding gene
ENSMUSG00000001663	Ensembl Gene Model	MGI:107379	Gstt1	glutathione S-transferase, theta 1	protein coding gene
ENSMUSG00000001666	Ensembl Gene Model	MGI:1298381	Ddt	D-dopachrome tautomerase	protein coding gene
ENSMUSG00000001674	Ensembl Gene Model	MGI:1914192	Ddx18	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18	protein coding gene
ENSMUSG00000001700	Ensembl Gene Model	MGI:1914815	Gramd3	GRAM domain containing 3	protein coding gene
ENSMUSG00000001729	Ensembl Gene Model	MGI:87986	Akt1	thymoma viral proto-oncogene 1	protein coding gene
ENSMUSG00000001755	Ensembl Gene Model	MGI:1918993	Coasy	Coenzyme A synthase	protein coding gene
ENSMUSG00000001761	Ensembl Gene Model	MGI:108075	Smo	smoothened, frizzled class receptor	protein coding gene
ENSMUSG00000001768	Ensembl Gene Model	MGI:1921280	Rin2	Ras and Rab interactor 2	protein coding gene
ENSMUSG00000001774	Ensembl Gene Model	MGI:1914167	Chordc1	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1	protein coding gene
ENSMUSG00000001783	Ensembl Gene Model	MGI:106379	Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase	protein coding gene
ENSMUSG00000001785	Ensembl Gene Model	MGI:1914735	Pwp1	PWP1 homolog, endonuclein	protein coding gene
ENSMUSG00000001786	Ensembl Gene Model	MGI:1917004	Fbxo7	F-box protein 7	protein coding gene
ENSMUSG00000001794	Ensembl Gene Model	MGI:88266	Capns1	calpain, small subunit 1	protein coding gene
ENSMUSG00000001827	Ensembl Gene Model	MGI:95568	Folr1	folate receptor 1 (adult)	protein coding gene
ENSMUSG00000001829	Ensembl Gene Model	MGI:1100517	Clpb	ClpB caseinolytic peptidase B	protein coding gene
ENSMUSG00000001833	Ensembl Gene Model	MGI:1335094	Sept7	septin 7	protein coding gene
ENSMUSG00000001847	Ensembl Gene Model	MGI:97845	Rac1	RAS-related C3 botulinum substrate 1	protein coding gene
ENSMUSG00000001855	Ensembl Gene Model	MGI:1095411	Nup214	nucleoporin 214	protein coding gene
ENSMUSG00000001891	Ensembl Gene Model	MGI:2183447	Ugp2	UDP-glucose pyrophosphorylase 2	protein coding gene
ENSMUSG00000001909	Ensembl Gene Model	MGI:1289155	Trmt1	tRNA methyltransferase 1	protein coding gene
ENSMUSG00000001910	Ensembl Gene Model	MGI:1914080	Nacc1	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing	protein coding gene
ENSMUSG00000001924	Ensembl Gene Model	MGI:98890	Uba1	ubiquitin-like modifier activating enzyme 1	protein coding gene
ENSMUSG00000001930	Ensembl Gene Model	MGI:98941	Vwf	Von Willebrand factor	protein coding gene
ENSMUSG00000001962	Ensembl Gene Model	MGI:1351626	Fam50a	family with sequence similarity 50, member A	protein coding gene
ENSMUSG00000001964	Ensembl Gene Model	MGI:108117	Emd	emerin	protein coding gene
ENSMUSG00000001999	Ensembl Gene Model	MGI:88170	Blvra	biliverdin reductase A	protein coding gene
ENSMUSG00000002010	Ensembl Gene Model	MGI:1099463	Idh3g	isocitrate dehydrogenase 3 (NAD+), gamma	protein coding gene
ENSMUSG00000002014	Ensembl Gene Model	MGI:1099464	Ssr4	signal sequence receptor, delta	protein coding gene
ENSMUSG00000002015	Ensembl Gene Model	MGI:1350933	Bcap31	B cell receptor associated protein 31	protein coding gene
ENSMUSG00000002028	Ensembl Gene Model	MGI:96995	Kmt2a	lysine (K)-specific methyltransferase 2A	protein coding gene
ENSMUSG00000002031	Ensembl Gene Model	MGI:1923818	Ift46	intraflagellar transport 46	protein coding gene
ENSMUSG00000002052	Ensembl Gene Model	MGI:107726	Supt6	suppressor of Ty 6	protein coding gene
ENSMUSG00000002055	Ensembl Gene Model	MGI:1927470	Spag5	sperm associated antigen 5	protein coding gene
ENSMUSG00000002059	Ensembl Gene Model	MGI:104606	Rab34	RAB34, member RAS oncogene family	protein coding gene
ENSMUSG00000002064	Ensembl Gene Model	MGI:108019	Sdf2	stromal cell derived factor 2	protein coding gene
ENSMUSG00000002076	Ensembl Gene Model	MGI:1921627	Hsf2bp	heat shock transcription factor 2 binding protein	protein coding gene
ENSMUSG00000002083	Ensembl Gene Model	MGI:2181667	Bbc3	BCL2 binding component 3	protein coding gene
ENSMUSG00000002102	Ensembl Gene Model	MGI:1098754	Psmc3	proteasome (prosome, macropain) 26S subunit, ATPase 3	protein coding gene
ENSMUSG00000002147	Ensembl Gene Model	MGI:103034	Stat6	signal transducer and activator of transcription 6	protein coding gene
ENSMUSG00000002190	Ensembl Gene Model	MGI:107472	Clgn	calmegin	protein coding gene
ENSMUSG00000002210	Ensembl Gene Model	MGI:1919247	Smg9	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein coding gene
ENSMUSG00000002221	Ensembl Gene Model	MGI:1890430	Paxip1	PAX interacting (with transcription-activation domain) protein 1	protein coding gene
ENSMUSG00000002222	Ensembl Gene Model	MGI:1915727	Rmnd5a	required for meiotic nuclear division 5 homolog A	protein coding gene
ENSMUSG00000002227	Ensembl Gene Model	MGI:97054	Mov10	Moloney leukemia virus 10	protein coding gene
ENSMUSG00000002265	Ensembl Gene Model	MGI:104748	Peg3	paternally expressed 3	protein coding gene
ENSMUSG00000002297	Ensembl Gene Model	MGI:1351328	Dbf4	DBF4 zinc finger	protein coding gene
ENSMUSG00000002307	Ensembl Gene Model	MGI:1197015	Daxx	Fas death domain-associated protein	protein coding gene
ENSMUSG00000002319	Ensembl Gene Model	MGI:1923001	Ipo4	importin 4	protein coding gene
ENSMUSG00000002324	Ensembl Gene Model	MGI:1929645	Rec8	REC8 meiotic recombination protein	protein coding gene
ENSMUSG00000002332	Ensembl Gene Model	MGI:1196314	Dhrs1	dehydrogenase/reductase (SDR family) member 1	protein coding gene
ENSMUSG00000002372	Ensembl Gene Model	MGI:1919060	Ranbp3	RAN binding protein 3	protein coding gene
ENSMUSG00000002379	Ensembl Gene Model	MGI:1917125	Ndufa11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11	protein coding gene
ENSMUSG00000002395	Ensembl Gene Model	MGI:1914273	Use1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	protein coding gene
ENSMUSG00000002416	Ensembl Gene Model	MGI:1915448	Ndufb2	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2	protein coding gene
ENSMUSG00000002428	Ensembl Gene Model	MGI:1196437	Hltf	helicase-like transcription factor	protein coding gene
ENSMUSG00000002458	Ensembl Gene Model	MGI:1915153	Rgs19	regulator of G-protein signaling 19	protein coding gene
ENSMUSG00000002477	Ensembl Gene Model	MGI:98344	Snrpd1	small nuclear ribonucleoprotein D1	protein coding gene
ENSMUSG00000002496	Ensembl Gene Model	MGI:102548	Tsc2	tuberous sclerosis 2	protein coding gene
ENSMUSG00000002524	Ensembl Gene Model	MGI:1915209	Puf60	poly-U binding splicing factor 60	protein coding gene
ENSMUSG00000002580	Ensembl Gene Model	MGI:1913678	Mien1	migration and invasion enhancer 1	protein coding gene
ENSMUSG00000002625	Ensembl Gene Model	MGI:1860606	Akap8l	A kinase (PRKA) anchor protein 8-like	protein coding gene
ENSMUSG00000002635	Ensembl Gene Model	MGI:1915329	Pdcd2l	programmed cell death 2-like	protein coding gene
ENSMUSG00000002660	Ensembl Gene Model	MGI:1858213	Clpp	caseinolytic mitochondrial matrix peptidase proteolytic subunit	protein coding gene
ENSMUSG00000002679	Ensembl Gene Model	MGI:1917042	Med6	mediator complex subunit 6	protein coding gene
ENSMUSG00000002718	Ensembl Gene Model	MGI:1339951	Cse1l	chromosome segregation 1-like (S. cerevisiae)	protein coding gene
ENSMUSG00000002733	Ensembl Gene Model	MGI:1932515	Plekha3	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3	protein coding gene
ENSMUSG00000002741	Ensembl Gene Model	MGI:1927550	Ykt6	YKT6 v-SNARE homolog (S. cerevisiae)	protein coding gene
ENSMUSG00000002748	Ensembl Gene Model	MGI:1353499	Baz1b	bromodomain adjacent to zinc finger domain, 1B	protein coding gene
ENSMUSG00000002767	Ensembl Gene Model	MGI:1351622	Mrpl2	mitochondrial ribosomal protein L2	protein coding gene
ENSMUSG00000002768	Ensembl Gene Model	MGI:96957	Mea1	male enhanced antigen 1	protein coding gene
ENSMUSG00000002804	Ensembl Gene Model	MGI:1913424	Nudt14	nudix (nucleoside diphosphate linked moiety X)-type motif 14	protein coding gene
ENSMUSG00000002825	Ensembl Gene Model	MGI:1931441	Qtrt1	queuine tRNA-ribosyltransferase catalytic subunit 1	protein coding gene
ENSMUSG00000002833	Ensembl Gene Model	MGI:1194492	Hdgfl2	HDGF like 2	protein coding gene
ENSMUSG00000002844	Ensembl Gene Model	MGI:1098234	Adprh	ADP-ribosylarginine hydrolase	protein coding gene
ENSMUSG00000002870	Ensembl Gene Model	MGI:105380	Mcm2	minichromosome maintenance complex component 2	protein coding gene
ENSMUSG00000002871	Ensembl Gene Model	MGI:1345190	Tpra1	transmembrane protein, adipocyte asscociated 1	protein coding gene
ENSMUSG00000002910	Ensembl Gene Model	MGI:1918057	Arrdc2	arrestin domain containing 2	protein coding gene
ENSMUSG00000002948	Ensembl Gene Model	MGI:1346871	Map2k7	mitogen-activated protein kinase kinase 7	protein coding gene
ENSMUSG00000002949	Ensembl Gene Model	MGI:1343262	Timm44	translocase of inner mitochondrial membrane 44	protein coding gene
ENSMUSG00000002963	Ensembl Gene Model	MGI:1891698	Pnkp	polynucleotide kinase 3'- phosphatase	protein coding gene
ENSMUSG00000002981	Ensembl Gene Model	MGI:1927155	Clptm1	cleft lip and palate associated transmembrane protein 1	protein coding gene
ENSMUSG00000002984	Ensembl Gene Model	MGI:1858259	Tomm40	translocase of outer mitochondrial membrane 40 homolog (yeast)	protein coding gene
ENSMUSG00000002985	Ensembl Gene Model	MGI:88057	Apoe	apolipoprotein E	protein coding gene
ENSMUSG00000003031	Ensembl Gene Model	MGI:104565	Cdkn1b	cyclin-dependent kinase inhibitor 1B	protein coding gene
ENSMUSG00000003032	Ensembl Gene Model	MGI:1342287	Klf4	Kruppel-like factor 4 (gut)	protein coding gene
ENSMUSG00000003033	Ensembl Gene Model	MGI:102776	Ap1m1	adaptor-related protein complex AP-1, mu subunit 1	protein coding gene
ENSMUSG00000003037	Ensembl Gene Model	MGI:96960	Rab8a	RAB8A, member RAS oncogene family	protein coding gene
ENSMUSG00000003039	Ensembl Gene Model	MGI:1915172	Fam32a	family with sequence similarity 32, member A	protein coding gene
ENSMUSG00000003051	Ensembl Gene Model	MGI:1101781	Elf3	E74-like factor 3	protein coding gene
ENSMUSG00000003062	Ensembl Gene Model	MGI:1923455	Stard3nl	STARD3 N-terminal like	protein coding gene
ENSMUSG00000003070	Ensembl Gene Model	MGI:102707	Efna2	ephrin A2	protein coding gene
ENSMUSG00000003072	Ensembl Gene Model	MGI:1913293	Atp5d	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	protein coding gene
ENSMUSG00000003099	Ensembl Gene Model	MGI:102666	Ppp5c	protein phosphatase 5, catalytic subunit	protein coding gene
ENSMUSG00000003119	Ensembl Gene Model	MGI:1098802	Cdk12	cyclin-dependent kinase 12	protein coding gene
ENSMUSG00000003131	Ensembl Gene Model	MGI:108415	Pafah1b2	platelet-activating factor acetylhydrolase, isoform 1b, subunit 2	protein coding gene
ENSMUSG00000003134	Ensembl Gene Model	MGI:1927225	Tbc1d8	TBC1 domain family, member 8	protein coding gene
ENSMUSG00000003135	Ensembl Gene Model	MGI:106580	Cnot11	CCR4-NOT transcription complex, subunit 11	protein coding gene
ENSMUSG00000003153	Ensembl Gene Model	MGI:95757	Slc2a3	solute carrier family 2 (facilitated glucose transporter), member 3	protein coding gene
ENSMUSG00000003161	Ensembl Gene Model	MGI:98419	Sri	sorcin	protein coding gene
ENSMUSG00000003200	Ensembl Gene Model	MGI:700010	Sh3gl1	SH3-domain GRB2-like 1	protein coding gene
ENSMUSG00000003269	Ensembl Gene Model	MGI:1334255	Cyth2	cytohesin 2	protein coding gene
ENSMUSG00000003309	Ensembl Gene Model	MGI:1336974	Ap1m2	adaptor protein complex AP-1, mu 2 subunit	protein coding gene
ENSMUSG00000003316	Ensembl Gene Model	MGI:104967	Glg1	golgi apparatus protein 1	protein coding gene
ENSMUSG00000003344	Ensembl Gene Model	MGI:1933831	Btbd2	BTB (POZ) domain containing 2	protein coding gene
ENSMUSG00000003345	Ensembl Gene Model	MGI:1920014	Csnk1g2	casein kinase 1, gamma 2	protein coding gene
ENSMUSG00000003346	Ensembl Gene Model	MGI:106388	Abhd17a	abhydrolase domain containing 17A	protein coding gene
ENSMUSG00000003360	Ensembl Gene Model	MGI:1921601	Ddx23	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23	protein coding gene
ENSMUSG00000003363	Ensembl Gene Model	MGI:1333782	Pld3	phospholipase D family, member 3	protein coding gene
ENSMUSG00000003380	Ensembl Gene Model	MGI:1201692	Rabac1	Rab acceptor 1 (prenylated)	protein coding gene
ENSMUSG00000003382	Ensembl Gene Model	MGI:1350926	Etv3	ets variant 3	protein coding gene
ENSMUSG00000003402	Ensembl Gene Model	MGI:107877	Prkcsh	protein kinase C substrate 80K-H	protein coding gene
ENSMUSG00000003421	Ensembl Gene Model	MGI:1913644	Nosip	nitric oxide synthase interacting protein	protein coding gene
ENSMUSG00000003429	Ensembl Gene Model	MGI:1351329	Rps11	ribosomal protein S11	protein coding gene
ENSMUSG00000003435	Ensembl Gene Model	MGI:1202400	Supt5	suppressor of Ty 5	protein coding gene
ENSMUSG00000003437	Ensembl Gene Model	MGI:1923988	Paf1	Paf1, RNA polymerase II complex component	protein coding gene
ENSMUSG00000003438	Ensembl Gene Model	MGI:1913775	Timm50	translocase of inner mitochondrial membrane 50	protein coding gene
ENSMUSG00000003464	Ensembl Gene Model	MGI:1334458	Pex19	peroxisomal biogenesis factor 19	protein coding gene
ENSMUSG00000003526	Ensembl Gene Model	MGI:97770	Prodh	proline dehydrogenase	protein coding gene
ENSMUSG00000003527	Ensembl Gene Model	MGI:107854	Dgcr14	DiGeorge syndrome critical region gene 14	protein coding gene
ENSMUSG00000003528	Ensembl Gene Model	MGI:1345283	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	protein coding gene
ENSMUSG00000003549	Ensembl Gene Model	MGI:95412	Ercc1	excision repair cross-complementing rodent repair deficiency, complementation group 1	protein coding gene
ENSMUSG00000003573	Ensembl Gene Model	MGI:1347359	Homer3	homer scaffolding protein 3	protein coding gene
ENSMUSG00000003644	Ensembl Gene Model	MGI:104558	Rps6ka1	ribosomal protein S6 kinase polypeptide 1	protein coding gene
ENSMUSG00000003657	Ensembl Gene Model	MGI:101914	Calb2	calbindin 2	protein coding gene
ENSMUSG00000003660	Ensembl Gene Model	MGI:2444401	Snrnp200	small nuclear ribonucleoprotein 200 (U5)	protein coding gene
ENSMUSG00000003662	Ensembl Gene Model	MGI:1346998	Ciao1	cytosolic iron-sulfur protein assembly 1	protein coding gene
ENSMUSG00000003752	Ensembl Gene Model	MGI:2442554	Itpkc	inositol 1,4,5-trisphosphate 3-kinase C	protein coding gene
ENSMUSG00000003779	Ensembl Gene Model	MGI:1201682	Kif20a	kinesin family member 20A	protein coding gene
ENSMUSG00000003808	Ensembl Gene Model	MGI:1913840	Farsa	phenylalanyl-tRNA synthetase, alpha subunit	protein coding gene
ENSMUSG00000003810	Ensembl Gene Model	MGI:894676	Mast2	microtubule associated serine/threonine kinase 2	protein coding gene
ENSMUSG00000003813	Ensembl Gene Model	MGI:105126	Rad23a	RAD23 homolog A, nucleotide excision repair protein	protein coding gene
ENSMUSG00000003814	Ensembl Gene Model	MGI:88252	Calr	calreticulin	protein coding gene
